Question,Answer
How do I call a method defined in a base class from a derived class that extends it?,"Use the built-in super() function: class Derived(Base): def meth(self): super().meth()  # calls Base.meth In the example, super() will automatically determine the instance from which it was called (the self value), look up the method resolution order (MRO) with type(self).__mro__, and return the next in line after Derived in the MRO: Base."
How can I organize my code to make it easier to change the base class?,"You could assign the base class to an alias and derive from the alias. Then all you have to change is the value assigned to the alias. Incidentally, this trick is also handy if you want to decide dynamically (e.g. depending on availability of resources) which base class to use. Example: class Base: ... BaseAlias = Base class Derived(BaseAlias): ..."
How do I create static class data and static class methods?,"Both static data and static methods (in the sense of C++ or Java) are supported in Python. For static data, simply define a class attribute. To assign a new value to the attribute, you have to explicitly use the class name in the assignment: class C: count = 0   # number of times C.__init__ called def __init__(self): C.count = C.count + 1 def getcount(self): return C.count  # or return self.count c.count also refers to C.count for any c such that isinstance(c, C) holds, unless overridden by c itself or by some class on the base-class search path from c.__class__ back to C. Caution: within a method of C, an assignment like self.count = 42 creates a new and unrelated instance named É??countÉ?ù in selfÉ??s own dict. Rebinding of a class-static data name must always specify the class whether inside a method or not: C.count = 314 Static methods are possible: class C: @staticmethod def static(arg1, arg2, arg3): # No 'self' parameter! ..."
"However, a far more straightforward way to get the effect of a static method is via a simple module-level function:","def getcount(): return C.count If your code is structured so as to define one class (or tightly related class hierarchy) per module, this supplies the desired encapsulation."
How can I overload constructors (or methods) in Python?,"This answer actually applies to all methods, but the question usually comes up first in the context of constructors. In C++ youÉ??d write class C { C() { cout << ""No arguments\n""; } C(int i) { cout << ""Argument is "" << i << ""\n""; } } In Python you have to write a single constructor that catches all cases using default arguments. For example: class C: def __init__(self, i=None): if i is None: print(""No arguments"") else: print(""Argument is"", i) This is not entirely equivalent, but close enough in practice. You could also try a variable-length argument list, e.g. def __init__(self, *args): ... The same approach works for all method definitions. I try to use __spam and I get an error about _SomeClassName__spam. Variable names with double leading underscores are É??mangledÉ?ù to provide a simple but effective way to define class private variables. Any identifier of the form __spam (at least two leading underscores, at most one trailing underscore) is textually replaced with _classname__spam, where classname is the current class name with any leading underscores stripped. The identifier can be used unchanged within the class, but to access it outside the class, the mangled name must be used: class A: def __one(self): return 1 def two(self): return 2 * self.__one() class B(A): def three(self): return 3 * self._A__one() four = 4 * A()._A__one() In particular, this does not guarantee privacy since an outside user can still deliberately access the private attribute; many Python programmers never bother to use private variable names at all. See also The private name mangling specifications for details and special cases. My class defines __del__ but it is not called when I delete the object. There are several possible reasons for this. The del statement does not necessarily call __del__() É?? it simply decrements the objectÉ??s reference count, and if this reaches zero __del__() is called. If your data structures contain circular links (e.g. a tree where each child has a parent reference and each parent has a list of children) the reference counts will never go back to zero. Once in a while Python runs an algorithm to detect such cycles, but the garbage collector might run some time after the last reference to your data structure vanishes, so your __del__() method may be called at an inconvenient and random time. This is inconvenient if youÉ??re trying to reproduce a problem. Worse, the order in which objectÉ??s __del__() methods are executed is arbitrary. You can run gc.collect() to force a collection, but there are pathological cases where objects will never be collected. Despite the cycle collector, itÉ??s still a good idea to define an explicit close() method on objects to be called whenever youÉ??re done with them. The close() method can then remove attributes that refer to subobjects. DonÉ??t call __del__() directly É?? __del__() should call close() and close() should make sure that it can be called more than once for the same object. Another way to avoid cyclical references is to use the weakref module, which allows you to point to objects without incrementing their reference count. Tree data structures, for instance, should use weak references for their parent and sibling references (if they need them!). Finally, if your __del__() method raises an exception, a warning message is printed to sys.stderr."
How do I get a list of all instances of a given class?,Python does not keep track of all instances of a class (or of a built-in type). You can program the classÉ??s constructor to keep track of all instances by keeping a list of weak references to each instance.
Why does the result of id() appear to be not unique?,"The id() builtin returns an integer that is guaranteed to be unique during the lifetime of the object. Since in CPython, this is the objectÉ??s memory address, it happens frequently that after an object is deleted from memory, the next freshly created object is allocated at the same position in memory. This is illustrated by this example: id(1000) 13901272 id(2000) 13901272 The two ids belong to different integer objects that are created before, and deleted immediately after execution of the id() call. To be sure that objects whose id you want to examine are still alive, create another reference to the object: a = 1000; b = 2000 id(a) 13901272 id(b) 13891296 When can I rely on identity tests with the is operator? The is operator tests for object identity. The test a is b is equivalent to id(a) == id(b). The most important property of an identity test is that an object is always identical to itself, a is a always returns True. Identity tests are usually faster than equality tests. And unlike equality tests, identity tests are guaranteed to return a boolean True or False."
"However, identity tests can only be substituted for equality tests when object identity is assured. Generally, there are three circumstances where identity is guaranteed:","Assignments create new names but do not change object identity. After the assignment new = old, it is guaranteed that new is old. Putting an object in a container that stores object references does not change object identity. After the list assignment s[0] = x, it is guaranteed that s[0] is x. If an object is a singleton, it means that only one instance of that object can exist. After the assignments a = None and b = None, it is guaranteed that a is b because None is a singleton. In most other circumstances, identity tests are inadvisable and equality tests are preferred. In particular, identity tests should not be used to check constants such as int and str which arenÉ??t guaranteed to be singletons: a = 1000 b = 500 c = b + 500 a is c False a = 'Python' b = 'Py' c = b + 'thon' a is c False Likewise, new instances of mutable containers are never identical: a = [] b = [] a is b False In the standard library code, you will see several common patterns for correctly using identity tests: As recommended by PEP 8, an identity test is the preferred way to check for None. This reads like plain English in code and avoids confusion with other objects that may have boolean values that evaluate to false. Detecting optional arguments can be tricky when None is a valid input value. In those situations, you can create a singleton sentinel object guaranteed to be distinct from other objects. For example, here is how to implement a method that behaves like dict.pop(): _sentinel = object() def pop(self, key, default=_sentinel): if key in self: value = self[key] del self[key] return value if default is _sentinel: raise KeyError(key) return default Container implementations sometimes need to augment equality tests with identity tests. This prevents the code from being confused by objects such as float('NaN') that are not equal to themselves. For example, here is the implementation of collections.abc.Sequence.__contains__(): def __contains__(self, value): for v in self: if v is value or v == value: return True return False"
How can a subclass control what data is stored in an immutable instance?,"When subclassing an immutable type, override the __new__() method instead of the __init__() method. The latter only runs after an instance is created, which is too late to alter data in an immutable instance. All of these immutable classes have a different signature than their parent class: from datetime import date class FirstOfMonthDate(date): ""Always choose the first day of the month"" def __new__(cls, year, month, day): return super().__new__(cls, year, month, 1) class NamedInt(int): ""Allow text names for some numbers"" xlat = {'zero': 0, 'one': 1, 'ten': 10} def __new__(cls, value): value = cls.xlat.get(value, value) return super().__new__(cls, value) class TitleStr(str): ""Convert str to name suitable for a URL path"" def __new__(cls, s): s = s.lower().replace(' ', '-') s = ''.join([c for c in s if c.isalnum() or c == '-']) return super().__new__(cls, s) The classes can be used like this: FirstOfMonthDate(2012, 2, 14) FirstOfMonthDate(2012, 2, 1) NamedInt('ten') 10 NamedInt(20) 20 TitleStr('Blog: Why Python Rocks') 'blog-why-python-rocks'"
How do I cache method calls?,"The two principal tools for caching methods are functools.cached_property() and functools.lru_cache(). The former stores results at the instance level and the latter at the class level. The cached_property approach only works with methods that do not take any arguments. It does not create a reference to the instance. The cached method result will be kept only as long as the instance is alive. The advantage is that when an instance is no longer used, the cached method result will be released right away. The disadvantage is that if instances accumulate, so too will the accumulated method results. They can grow without bound. The lru_cache approach works with methods that have hashable arguments. It creates a reference to the instance unless special efforts are made to pass in weak references. The advantage of the least recently used algorithm is that the cache is bounded by the specified maxsize. The disadvantage is that instances are kept alive until they age out of the cache or until the cache is cleared. This example shows the various techniques: class Weather: ""Lookup weather information on a government website"" def __init__(self, station_id): self._station_id = station_id # The _station_id is private and immutable def current_temperature(self): ""Latest hourly observation"" # Do not cache this because old results # can be out of date. @cached_property def location(self): ""Return the longitude/latitude coordinates of the station"" # Result only depends on the station_id @lru_cache(maxsize=20) def historic_rainfall(self, date, units='mm'): ""Rainfall on a given date"" # Depends on the station_id, date, and units. The above example assumes that the station_id never changes. If the relevant instance attributes are mutable, the cached_property approach canÉ??t be made to work because it cannot detect changes to the attributes. To make the lru_cache approach work when the station_id is mutable, the class needs to define the __eq__() and __hash__() methods so that the cache can detect relevant attribute updates: class Weather: ""Example with a mutable station identifier"" def __init__(self, station_id): self.station_id = station_id def change_station(self, station_id): self.station_id = station_id def __eq__(self, other): return self.station_id == other.station_id def __hash__(self): return hash(self.station_id) @lru_cache(maxsize=20) def historic_rainfall(self, date, units='cm'): 'Rainfall on a given date' # Depends on the station_id, date, and units. Modules"
How do I create a .pyc file?,"When a module is imported for the first time (or when the source file has changed since the current compiled file was created) a .pyc file containing the compiled code should be created in a __pycache__ subdirectory of the directory containing the .py file. The .pyc file will have a filename that starts with the same name as the .py file, and ends with .pyc, with a middle component that depends on the particular python binary that created it. (See PEP 3147 for details.) One reason that a .pyc file may not be created is a permissions problem with the directory containing the source file, meaning that the __pycache__ subdirectory cannot be created. This can happen, for example, if you develop as one user but run as another, such as if you are testing with a web server. Unless the PYTHONDONTWRITEBYTECODE environment variable is set, creation of a .pyc file is automatic if youÉ??re importing a module and Python has the ability (permissions, free space, etcÉ??) to create a __pycache__ subdirectory and write the compiled module to that subdirectory. Running Python on a top level script is not considered an import and no .pyc will be created. For example, if you have a top-level module foo.py that imports another module xyz.py, when you run foo (by typing python foo.py as a shell command), a .pyc will be created for xyz because xyz is imported, but no .pyc file will be created for foo since foo.py isnÉ??t being imported. If you need to create a .pyc file for foo É?? that is, to create a .pyc file for a module that is not imported É?? you can, using the py_compile and compileall modules. The py_compile module can manually compile any module. One way is to use the compile() function in that module interactively: import py_compile py_compile.compile('foo.py') This will write the .pyc to a __pycache__ subdirectory in the same location as foo.py (or you can override that with the optional parameter cfile). You can also automatically compile all files in a directory or directories using the compileall module. You can do it from the shell prompt by running compileall.py and providing the path of a directory containing Python files to compile: python -m compileall ."
How do I find the current module name?,"A module can find out its own module name by looking at the predefined global variable __name__. If this has the value '__main__', the program is running as a script. Many modules that are usually used by importing them also provide a command-line interface or a self-test, and only execute this code after checking __name__: def main(): print('Running test...') ... if __name__ == '__main__': main()"
How can I have modules that mutually import each other?,"Suppose you have the following modules: foo.py: from bar import bar_var foo_var = 1 bar.py: from foo import foo_var bar_var = 2 The problem is that the interpreter will perform the following steps: main imports foo Empty globals for foo are created foo is compiled and starts executing foo imports bar Empty globals for bar are created bar is compiled and starts executing bar imports foo (which is a no-op since there already is a module named foo) The import mechanism tries to read foo_var from foo globals, to set bar.foo_var = foo.foo_var The last step fails, because Python isnÉ??t done with interpreting foo yet and the global symbol dictionary for foo is still empty. The same thing happens when you use import foo, and then try to access foo.foo_var in global code. There are (at least) three possible workarounds for this problem. Guido van Rossum recommends avoiding all uses of from <module> import ..., and placing all code inside functions. Initializations of global variables and class variables should use constants or built-in functions only. This means everything from an imported module is referenced as <module>.<name>. Jim Roskind suggests performing steps in the following order in each module: exports (globals, functions, and classes that donÉ??t need imported base classes) import statements active code (including globals that are initialized from imported values). Van Rossum doesnÉ??t like this approach much because the imports appear in a strange place, but it does work. Matthias Urlichs recommends restructuring your code so that the recursive import is not necessary in the first place. These solutions are not mutually exclusive. __import__(É??x.y.zÉ??) returns <module É??xÉ??>; how do I get z? Consider using the convenience function import_module() from importlib instead: z = importlib.import_module('x.y.z') When I edit an imported module and reimport it, the changes donÉ??t show up. Why does this happen? For reasons of efficiency as well as consistency, Python only reads the module file on the first time a module is imported. If it didnÉ??t, in a program consisting of many modules where each one imports the same basic module, the basic module would be parsed and re-parsed many times. To force re-reading of a changed module, do this: import importlib import modname importlib.reload(modname) Warning: this technique is not 100% fool-proof. In particular, modules containing statements like from modname import some_objects will continue to work with the old version of the imported objects. If the module contains class definitions, existing class instances will not be updated to use the new class definition. This can result in the following paradoxical behaviour: import importlib import cls c = cls.C()                # Create an instance of C importlib.reload(cls) <module 'cls' from 'cls.py'>"
"isinstance(c, cls.C)       # isinstance is false?!?",False The nature of the problem is made clear if you print out the É??identityÉ?ù of the class objects: Copy hex(id(c.__class__)) '0x7352a0' hex(id(cls.C)) '0x4198d0'
How do I run a Python program under Windows?,"This is not necessarily a straightforward question. If you are already familiar with running programs from the Windows command line then everything will seem obvious; otherwise, you might need a little more guidance. Unless you use some sort of integrated development environment, you will end up typing Windows commands into what is referred to as a É??Command prompt windowÉ?ù. Usually you can create such a window from your search bar by searching for cmd. You should be able to recognize when you have started such a window because you will see a Windows É??command promptÉ?ù, which usually looks like this: The letter may be different, and there might be other things after it, so you might just as easily see something like: depending on how your computer has been set up and what else you have recently done with it. Once you have started such a window, you are well on the way to running Python programs. You need to realize that your Python scripts have to be processed by another program called the Python interpreter. The interpreter reads your script, compiles it into bytecodes, and then executes the bytecodes to run your program. So, how do you arrange for the interpreter to handle your Python? First, you need to make sure that your command window recognises the word É??pyÉ?ù as an instruction to start the interpreter. If you have opened a command window, you should try entering the command py and hitting return: py You should then see something like: Python 3.6.4 (v3.6.4:d48eceb, Dec 19 2017, 06:04:45) [MSC v.1900 32 bit (Intel)] on win32 Type ""help"", ""copyright"", ""credits"" or ""license"" for more information. You have started the interpreter in É??interactive modeÉ?ù. That means you can enter Python statements or expressions interactively and have them executed or evaluated while you wait. This is one of PythonÉ??s strongest features. Check it by entering a few expressions of your choice and seeing the results: print(""Hello"") Hello ""Hello"" * 3 'HelloHelloHello' Many people use the interactive mode as a convenient yet highly programmable calculator. When you want to end your interactive Python session, call the exit() function or hold the Ctrl key down while you enter a Z, then hit the É??EnterÉ?ù key to get back to your Windows command prompt. You may also find that you have a Start-menu entry such as Start É?ú Programs É?ú Python 3.x É?ú Python (command line) that results in you seeing the >>> prompt in a new window. If so, the window will disappear after you call the exit() function or enter the Ctrl-Z character; Windows is running a single É??pythonÉ?ù command in the window, and closes it when you terminate the interpreter. Now that we know the py command is recognized, you can give your Python script to it. YouÉ??ll have to give either an absolute or a relative path to the Python script. LetÉ??s say your Python script is located in your desktop and is named hello.py, and your command prompt is nicely opened in your home directory so youÉ??re seeing something similar to: C:\Users\YourName> So now youÉ??ll ask the py command to give your script to Python by typing py followed by your script path: C:\Users\YourName> py Desktop\hello.py hello"
How do I make Python scripts executable?,"On Windows, the standard Python installer already associates the .py extension with a file type (Python.File) and gives that file type an open command that runs the interpreter (D:\Program Files\Python\python.exe ""%1"" %*). This is enough to make scripts executable from the command prompt as É??foo.pyÉ??. If youÉ??d rather be able to execute the script by simple typing É??fooÉ?? with no extension you need to add .py to the PATHEXT environment variable."
Why does Python sometimes take so long to start?,"Usually Python starts very quickly on Windows, but occasionally there are bug reports that Python suddenly begins to take a long time to start up. This is made even more puzzling because Python will work fine on other Windows systems which appear to be configured identically. The problem may be caused by a misconfiguration of virus checking software on the problem machine. Some virus scanners have been known to introduce startup overhead of two orders of magnitude when the scanner is configured to monitor all reads from the filesystem. Try checking the configuration of virus scanning software on your systems to ensure that they are indeed configured identically. McAfee, when configured to scan all file system read activity, is a particular offender."
How do I make an executable from a Python script?,See How can I create a stand-alone binary from a Python script? for a list of tools that can be used to make executables.
Is a *.pyd file the same as a DLL?,"Yes, .pyd files are dllÉ??s, but there are a few differences. If you have a DLL named foo.pyd, then it must have a function PyInit_foo(). You can then write Python É??import fooÉ?ù, and Python will search for foo.pyd (as well as foo.py, foo.pyc) and if it finds it, will attempt to call PyInit_foo() to initialize it. You do not link your .exe with foo.lib, as that would cause Windows to require the DLL to be present. Note that the search path for foo.pyd is PYTHONPATH, not the same as the path that Windows uses to search for foo.dll. Also, foo.pyd need not be present to run your program, whereas if you linked your program with a dll, the dll is required. Of course, foo.pyd is required if you want to say import foo. In a DLL, linkage is declared in the source code with __declspec(dllexport). In a .pyd, linkage is defined in a list of available functions."
How can I embed Python into a Windows application?,"Embedding the Python interpreter in a Windows app can be summarized as follows: Do not build Python into your .exe file directly. On Windows, Python must be a DLL to handle importing modules that are themselves DLLÉ??s. (This is the first key undocumented fact.) Instead, link to pythonNN.dll; it is typically installed in C:\Windows\System. NN is the Python version, a number such as É??33É?ù for Python 3.3. You can link to Python in two different ways. Load-time linking means linking against pythonNN.lib, while run-time linking means linking against pythonNN.dll. (General note: pythonNN.lib is the so-called É??import libÉ?ù corresponding to pythonNN.dll. It merely defines symbols for the linker.) Run-time linking greatly simplifies link options; everything happens at run time. Your code must load pythonNN.dll using the Windows LoadLibraryEx() routine. The code must also use access routines and data in pythonNN.dll (that is, PythonÉ??s C APIÉ??s) using pointers obtained by the Windows GetProcAddress() routine. Macros can make using these pointers transparent to any C code that calls routines in PythonÉ??s C API. If you use SWIG, it is easy to create a Python É??extension moduleÉ?ù that will make the appÉ??s data and methods available to Python. SWIG will handle just about all the grungy details for you. The result is C code that you link into your .exe file (!) You do not have to create a DLL file, and this also simplifies linking. SWIG will create an init function (a C function) whose name depends on the name of the extension module. For example, if the name of the module is leo, the init function will be called initleo(). If you use SWIG shadow classes, as you should, the init function will be called initleoc(). This initializes a mostly hidden helper class used by the shadow class. The reason you can link the C code in step 2 into your .exe file is that calling the initialization function is equivalent to importing the module into Python! (This is the second key undocumented fact.) In short, you can use the following code to initialize the Python interpreter with your extension module. #include <Python.h> ... Py_Initialize();  // Initialize Python. initmyAppc();  // Initialize (import) the helper class. PyRun_SimpleString(""import myApp"");  // Import the shadow class. There are two problems with PythonÉ??s C API which will become apparent if you use a compiler other than MSVC, the compiler used to build pythonNN.dll. Problem 1: The so-called É??Very High LevelÉ?ù functions that take FILE * arguments will not work in a multi-compiler environment because each compilerÉ??s notion of a struct FILE will be different. From an implementation standpoint these are very low level functions. Problem 2: SWIG generates the following code when generating wrappers to void functions: Py_INCREF(Py_None); _resultobj = Py_None; return _resultobj; Alas, Py_None is a macro that expands to a reference to a complex data structure called _Py_NoneStruct inside pythonNN.dll. Again, this code will fail in a mult-compiler environment. Replace such code by: return Py_BuildValue(""""); It may be possible to use SWIGÉ??s %typemap command to make the change automatically, though I have not been able to get this to work (IÉ??m a complete SWIG newbie). Using a Python shell script to put up a Python interpreter window from inside your Windows app is not a good idea; the resulting window will be independent of your appÉ??s windowing system. Rather, you (or the wxPythonWindow class) should create a É??nativeÉ?ù interpreter window. It is easy to connect that window to the Python interpreter. You can redirect PythonÉ??s i/o to _any_ object that supports read and write, so all you need is a Python object (defined in your extension module) that contains read() and write() methods."
How do I keep editors from inserting tabs into my Python source?,"The FAQ does not recommend using tabs, and the Python style guide, PEP 8, recommends 4 spaces for distributed Python code; this is also the Emacs python-mode default. Under any editor, mixing tabs and spaces is a bad idea. MSVC is no different in this respect, and is easily configured to use spaces: Take Tools É?ú Options É?ú Tabs, and for file type É??DefaultÉ?ù set É??Tab sizeÉ?ù and É??Indent sizeÉ?ù to 4, and select the É??Insert spacesÉ?ù radio button. Python raises IndentationError or TabError if mixed tabs and spaces are causing problems in leading whitespace. You may also run the tabnanny module to check a directory tree in batch mode."
How do I check for a keypress without blocking?,"Use the msvcrt module. This is a standard Windows-specific extension module. It defines a function kbhit() which checks whether a keyboard hit is present, and getch() which gets one character without echoing it."
How do I solve the missing api-ms-win-crt-runtime-l1-1-0.dll error?,"This can occur on Python 3.5 and later when using Windows 8.1 or earlier without all updates having been installed. First ensure your operating system is supported and is up to date, and if that does not resolve the issue, visit the Microsoft support page for guidance on manually installing the C Runtime update."
What is Python?,"Python is a programming language. ItÉ??s used for many different applications. ItÉ??s used in some high schools and colleges as an introductory programming language because Python is easy to learn, but itÉ??s also used by professional software developers at places such as Google, NASA, and Lucasfilm Ltd. If you wish to learn more about Python, start with the BeginnerÉ??s Guide to Python."
Why is Python installed on my machine?,"If you find Python installed on your system but donÉ??t remember installing it, there are several possible ways it could have gotten there. Perhaps another user on the computer wanted to learn programming and installed it; youÉ??ll have to figure out whoÉ??s been using the machine and might have installed it. A third-party application installed on the machine might have been written in Python and included a Python installation. There are many such applications, from GUI programs to network servers and administrative scripts. Some Windows machines also have Python installed. At this writing weÉ??re aware of computers from Hewlett-Packard and Compaq that include Python. Apparently some of HP/CompaqÉ??s administrative tools are written in Python. Many Unix-compatible operating systems, such as macOS and some Linux distributions, have Python installed by default; itÉ??s included in the base installation."
Can I delete Python?,"That depends on where Python came from. If someone installed it deliberately, you can remove it without hurting anything. On Windows, use the Add/Remove Programs icon in the Control Panel. If Python was installed by a third-party application, you can also remove it, but that application will no longer work. You should use that applicationÉ??s uninstaller rather than removing Python directly. If Python came with your operating system, removing it is not recommended. If you remove it, whatever tools were written in Python will no longer run, and some of them might be important to you. Reinstalling the whole system would then be required to fix things again."
